0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:44:47 +0900] "GET /sup_insertForm.do HTTP/1.1" 200 10141
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:44:47 +0900] "GET /resources/css/summernote-lite.css HTTP/1.1" 200 31086
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:44:47 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:44:47 +0900] "GET /resources/images/home/mainlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:44:47 +0900] "GET /resources/js/summernote-lite.js HTTP/1.1" 200 366080
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:44:47 +0900] "GET /resources/js/lang/summernote-ko-KR.js HTTP/1.1" 200 9926
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:44:47 +0900] "GET /resources/css/font/summernote.woff2 HTTP/1.1" 200 6156
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:58:39 +0900] "GET /alledudisplay.do HTTP/1.1" 200 17525
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:58:39 +0900] "GET /resources/images/list_banner/listbanner_edu.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:58:39 +0900] "GET /resources/images/list_banner/minibanner_eduexplain.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:58:39 +0900] "GET /resources/images/home/mainlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:58:39 +0900] "GET /resources/images/list_banner/minibanner_eduexplain.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:58:40 +0900] "GET /bringingdisplay.do HTTP/1.1" 200 14793
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:58:40 +0900] "GET /resources/images/list_banner/listbanner_edu.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:58:40 +0900] "GET /resources/images/list_banner/minibanner_eduexplain.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:59:29 +0900] "GET /alledudisplay.do HTTP/1.1" 200 17525
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:59:29 +0900] "GET /resources/images/list_banner/listbanner_edu.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:59:29 +0900] "GET /resources/images/list_banner/minibanner_eduexplain.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:59:29 +0900] "GET /resources/images/list_banner/minibanner_eduexplain.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:07:11 +0900] "GET /loungesharedisplay.do HTTP/1.1" 200 10454
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:07:11 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:07:11 +0900] "GET /resources/images/home/mainlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:07:11 +0900] "GET /resources/images/home/footer_image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:07:11 +0900] "GET /resources/images/page_banner/listbanner_lounge.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:07:12 +0900] "GET /lounge_list.do HTTP/1.1" 200 11282
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:07:12 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:08:39 +0900] "GET /lounge_list.do HTTP/1.1" 200 11289
0:0:0:0:0:0:0:1 - - [31/Aug/2023:18:08:39 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
